FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
TYR,TYLER POUNDS RGNL,TYLER,TX,RNAV (GPS) RWY 22,LPV,739, 3/4,200,3,54,N,1,Y,,,45514
SAV,SAVANNAH/HILTON HEAD INTL,SAVANNAH,GA,RNAV (GPS) RWY 01,LPV,239,4000,200,3,57,Y,1,Y,,,45515
5R4,FOLEY MUNI,FOLEY,AL,RNAV (GPS) RWY 18,LPV,393,1,321,3,54,N,1,N,,,45516
SYR,SYRACUSE HANCOCK INTL,SYRACUSE,NY,RNAV (GPS) Z RWY 28,LPV,613,1800,200,3,60,Y,1,Y,,2,45517
PBI,PALM BEACH INTL,WEST PALM BEACH,FL,RNAV (GPS) Y RWY 28R,LPV,356,6000,338,3,58,Y,1,Y,,,45518
JFK,JOHN F KENNEDY INTL,NEW YORK,NY,RNAV (GPS) Y RWY 31R,LPV,212,1800,200,3,49,Y,1,Y,,,45519
FNB,BRENNER FIELD,FALLS CITY,NE,RNAV (GPS) RWY 33,LPV,1234,1,250,3,40,N,1,N,N,,45520
GON,GROTON-NEW LONDON,GROTON (NEW LONDON),CT,RNAV (GPS) RWY 05,LPV,292,2400,284,3,42,Y,1,Y,Y,,45521
ARR,AURORA MUNI,CHICAGO/AURORA,IL,RNAV (GPS) RWY 09,LPV,957, 1/2,250,3,45,Y,1,Y,Y,,45522
PHL,PHILADELPHIA INTL,PHILADELPHIA,PA,RNAV (GPS) Y RWY 09L,LPV,263,2400,250,3,58,Y,1,Y,,,45523
MSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MINNEAPOLIS,MN,RNAV (GPS) Z RWY 12L,LPV,1041,1800,200,3,52,Y,1,Y,Y,3-Feb,45525
CAE,COLUMBIA METROPOLITAN,COLUMBIA,SC,RNAV (GPS) RWY 05,LPV,428,2400,200,3,60,Y,1,Y,,,45526
PIT,PITTSBURGH INTL,PITTSBURGH,PA,RNAV (GPS) Y RWY 28C,LPV,1471,6000,337,3,50,N,1,Y,,,45527
LBB,LUBBOCK PRESTON SMITH INTL,LUBBOCK,TX,RNAV (GPS) RWY 26,LPV,3456,2400,200,3,50,Y,1,Y,,,45528
DAB,DAYTONA BEACH INTL,DAYTONA BEACH,FL,RNAV (GPS) RWY 16,LPV,358,1 1/4,325,3,45,N,1,Y,,,45529
DPA,DUPAGE,CHICAGO/WEST CHICAGO,IL,RNAV (GPS) RWY 02R,LPV,1001,1,250,3,50,N,1,Y,Y,,45531
WAL,WALLOPS FLIGHT FACILITY,WALLOPS ISLAND,VA,RNAV (GPS) RWY 28,LPV,290, 3/4,250,3,50,N,1,N,N,,45534
BRL,SOUTHEAST IOWA RGNL,BURLINGTON,IA,RNAV (GPS) RWY 30,LPV,995,1,298,3,40,N,1,Y,,,45535
AMG,BACON COUNTY,ALMA,GA,RNAV (GPS) RWY 15,LPV,452,1,252,3,51,N,1,N,N,,45537
ZPH,ZEPHYRHILLS MUNI,ZEPHYRHILLS,FL,RNAV (GPS) RWY 23,LPV,377,1,289,3,53,N,1,N,N,,45538
EKS,ENNIS - BIG SKY,ENNIS,MT,RNAV (GPS) RWY 34,LPV,5644,1,275,3,40,N,1,N,N,,45539
CGE,CAMBRIDGE-DORCHESTER RGNL,CAMBRIDGE,MD,RNAV (GPS) RWY 34,LPV,286, 7/8,266,3,57,N,1,N,N,,45540
W99,GRANT COUNTY,PETERSBURG,WV,COPTER RNAV (GPS) RWY 31,LPV,1278, 3/4,321,5.2,46,N,1,N,,,45541
M70,POCAHONTAS MUNI,POCAHONTAS,AR,RNAV (GPS) RWY 18,LPV,571,1,298,3,40,N,1,N,N,,45543
OLM,OLYMPIA RGNL,OLYMPIA,WA,RNAV (GPS) RWY 17,LPV,407, 1/2,200,3,53,Y,1,Y,Y,,45599
EUG,MAHLON SWEET FIELD,EUGENE,OR,RNAV (GPS) Y RWY 34L,LPV,568,4000,200,3,53,N,1,Y,Y,,45600
MHR,SACRAMENTO MATHER,SACRAMENTO,CA,RNAV (GPS) RWY 04R,LPV,331, 3/4,250,3,50,N,1,Y,,,45601
CHO,CHARLOTTESVILLE-ALBEMARLE,CHARLOTTESVILLE,VA,RNAV (GPS) Z RWY 21,LPV,826,1,200,3,50,N,,Y,,,45602
DWH,DAVID WAYNE HOOKS MEMORIAL,HOUSTON,TX,RNAV (GPS) RWY 35L,LPV,451,1,299,3,45,N,1,N,N,,45603
PGA,PAGE MUNI,PAGE,AZ,RNAV (GPS) RWY 15,LPV,4599,1 1/4,335,3,50,N,1,N,N,,45604
UCP,NEW CASTLE MUNI,NEW CASTLE,PA,RNAV (GPS) RWY 23,LPV,1288,1,261,3,59,N,1,N,N,,45605
BFF,WESTERN NEBRASKA RGNL/WILLIAM B HEILIG FIELD,SCOTTSBLUFF,NE,RNAV (GPS) RWY 23,LPV,4256,1,289,3,52,N,1,Y,Y,,45606
PHF,NEWPORT NEWS/WILLIAMSBURG INTL,NEWPORT NEWS ,VA,RNAV (GPS) RWY 07,LPV,243,2400,203,3,59,Y,1,Y,,,45607
IIY,WASHINGTON-WILKES COUNTY,WASHINGTON,GA,RNAV (GPS) RWY 31,LPV,992,1 1/4,352,3,32,N,1,N,N,,45609
SHX,SHAGELUK,SHAGELUK,AK,RNAV (GPS) RWY 16,LPV,423,1 1/4,344,3,40,N,1,N,N,,45610
ROC,GREATER ROCHESTER INTL,ROCHESTER,NY,RNAV (GPS) RWY 04,LPV,735,1800,200,3,56,Y,1,Y,,2,45611
CDB,COLD BAY,COLD BAY,AK,RNAV (GPS) RWY 15,LPV,275,2400,200,3.1,55,Y,1,Y,,,45612
